"","x"
"672","Polygonum.aviculare..t"
"673","Polygonum.aviculare..t."
"674","Polygonum.aviculare.type"
"675","Polygonum.bist."
"676","Polygonum.bist..t."
"677","Polygonum.bistoides"
"678","Polygonum.lapath.t."
"679","Polygonum.lapthifoliu.t."
"680","Polygonum.pers..T."
"681","Polygonum.persicaria.t."
"682","Polygonum.sensu.lato"
"683","Polygonum.sensu.lato.undiff."
"684","Polypodiaceae"
"685","Polypodiaceae.undiff."
"686","Polypodiophyta"
"687","Polypodiophyta.undiff."
"688","Polypodium"
"689","Polypodium.t."
"690","Polypodium.type"
"691","Polypodium.virginianum"
"692","Pontedaria"
"693","Pontederia"
"694","Pontederia.sp."
"695","Pontederia.t."
"696","Pontederiaceae"
"697","Populus"
"698","Populus.balsamifera.type"
"699","Populus.tremuloides"
"700","Populus.tremuloides.type"
"701","Populus.undiff."
"702","Portulacaceae"
"703","Potamogeton"
"704","Potamogeton.t."
"705","Potamogeton.Triglochin"
"706","Potamogetonaceae"
"707","Potentilla"
"708","Potentilla.t."
"709","Potentilla.type"
"710","Potomogeton"
"711","preQuat"
"712","PreQuat."
"713","PreQuaternary"
"714","Primulaceae"
"715","Prunella"
"716","Prunus"
"717","Prunus.cf..P..serotina"
"718","Prunus.Pyrus"
"719","Prunus.Sorbus"
"720","Prunus.type"
"721","Prunus.type.undiff."
"722","Ptelea.trifoliata.t."
"723","Pteridium"
"724","Pteridium.aquilinum"
"725","Pteridium.t."
"726","Pteridium.type"
"727","Pteridophyta.undiff."
"728","pteridophytes"
"729","Pterocarya"
"730","Ptr.t"
"731","Quercus"
"732","Ranunculaceae"
"733","Ranunculaceae.undiff."
"734","Ranunculus"
"735","Ranunculus.acris.type"
"736","Ranunculus.flabellaris"
"737","Ranunculus.sp."
"738","Ranunculus.type.undiff."
"739","Rebus"
"740","Rhamnaceae"
"741","Rhamnaceae.Vitaceae"
"742","Rhamnaceae.Vitaceae.undiff."
"743","Rhamnus"
"744","Rhamnus.cathartica"
"745","Rhamnus.Vitis"
"746","Rhexia.t."
"747","Rhododendron"
"748","Rhododendron.subsect..Ledum.Chamaedaphne.calyculata"
"749","Rhus"
"750","Rhus.sp.."
"751","Rhus.typhina.type"
"752","Ribes"
"753","Rosa"
"754","Rosaceae"
"755","Rosaceae..Prunus.t.."
"756","Rosaceae.undiff"
"757","Rosaceae.undiff."
"758","Roseaceae"
"759","Rubiaceae"
"760","Rubiaceae.undiff."
"761","Rubus"
"762","Rubus.cf..R..chamaemorus"
"763","Rubus.ch"
"764","Rubus.Chamaemorus"
"765","Rubus.type"
"766","Rum"
"767","Rumex"
"768","Rumex.acetosa.type"
"769","Rumex.Oxyria.digyna.undiff."
"770","Ruppia"
"771","Rutaceae"
"772","Saggitaria"
"773","Sagittaria"
"774","Salix"
"775","Salsola"
"776","Sambucus"
"777","Sambucus.1"
"778","Sambucus.racemosa"
"779","Sambucus.t."
"780","sample.number"
"781","Sanguisorba"
"782","Sanguisorba.canadensis"
"783","Sanguisorba.canadensis.1"
"784","Sapindaceae"
"785","Sarcobatus"
"786","Sarcobatus.vermiculatus"
"787","Sarracenia"
"788","Saxifraceae"
"789","Saxifraga"
"790","Saxifraga.oppositifolia.t."
"791","Saxifraga.type"
"792","Saxifraga.undiff."
"793","Saxifragaceae"
"794","Scrophulariaceae"
"795","Secale"
"796","Secale.cereale"
"797","Secale.type"
"798","Selaginella"
"799","Selaginella.selaginoides"
"800","Sellaginella"
"801","Sellaginella.sp."
"802","Sellaginella.t."
"803","Shepherdia"
"804","Shepherdia.argentea"
"805","Shepherdia.canadensis"
"806","Shrub.pollen"
"807","Sisyrhincium.t."
"808","Sisyrinchium"
"809","site.id"
"810","site.name"
"811","Sium"
"812","Sium.t."
"813","Slx"
"814","Smilax"
"815","Solanaceae"
"816","Sparganium"
"817","Sparganium.t."
"818","Sparganium.type"
"819","Spermatophyta.undiff...aquatics."
"820","Spermatophyta.undiff...shrubs."
"821","Spermatophyta.undiff...trees."
"822","Sphagnum"
"823","Spiraea.type"
"824","Sporormiella"
"825","Stachys"
"826","Stachys.type"
"827","Stellaria"
"828","Stellaria.type"
"829","Suaeda"
"830","Symplocarpus"
"831","Taxodium"
"832","Taxodium.t."
"833","Taxodium.t..papilate"
"834","Taxus"
"835","Taxus.t."
"836","Tetrads"
"837","Thali"
"838","Thalictrum"
"839","Thelypteris.palustris"
"840","Thuja"
"841","Thuja.Juniperus"
"842","Tilia"
"843","Tilia.americana"
"844","Tilletia"
"845","Toxicodendron.radicans"
"846","Tradescantia"
"847","Tree.pollen"
"848","tree.shrub"
"849","trees.and.shrubs"
"850","Trifolium"
"851","Trifolium.t."
"852","Trifolium.type"
"853","Trilete.spore"
"854","Trilete.spores.undiff"
"855","Trilete.unk"
"856","Trilete.unknown"
"857","Trillium"
"858","Triticum"
"859","Triticum.t."
"860","Tsuga"
"861","Tsuga.canadensis"
"862","Tubuliflorae"
"863","Ty.Sp"
"864","Typha"
"865","Typha..tetrad."
"866","Typha.angustifolia"
"867","Typha.latifolia"
"868","Typha.latifolia.type"
"869","Typha.Sparganium"
"870","Typha.Sparganium.undiff."
"871","Typha.Sparganiumt."
"872","Typha.undiff."
"873","Ulm"
"874","Ulmus"
"875","Ulota"
"876","umbelliferae"
"877","Umbelliferae"
