"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"22759",2029000,670000,0.0112,0.0078,2e-07,0.0038,0.0109,1e-04,2e-07,2e-07,0.00055,2e-07,1e-04,0.0218,0.002,0.1043,0.41055,0.0866,0.1307,2e-07,2e-07,0.0012,0.0011,2e-07,0.01715
"22760",2037000,670000,0.0047,0.0016,2e-07,0.001,0.0057,2e-07,2e-07,2e-07,2e-04,2e-07,2e-07,0.03095,7e-04,0.05635,0.64415,0.16065,0.01195,2e-07,2e-07,0.001,0.00045,2e-07,0.00485
"22761",2045000,670000,0.0019,6e-04,2e-07,8e-04,0.0028,2e-07,2e-07,2e-07,1e-04,2e-07,2e-07,0.0281,3e-04,0.02865,0.68165,0.1842,0.00155,2e-07,2e-07,9e-04,7e-04,2e-07,0.00165
"22768",2101000,670000,0.00055,0.00715,2e-07,0.0015,8e-04,2e-07,2e-07,2e-07,2e-07,2e-07,2e-07,0.03495,2e-07,0.0015,0.56575,0.30665,2e-07,2e-07,2e-07,3e-04,0.01565,2e-07,0.0297
"22969",1341000,678000,0.0326,2e-07,0.03415,0.34475,0.0213,5e-04,9e-04,2e-07,0.0087,2e-07,0.26275,0.0015,0.01055,0.08275,0.0156,0.00805,2e-07,2e-07,0.0036,0.00885,2e-07,2e-07,0.0117
"22970",1349000,678000,0.0209,2e-07,0.02525,0.43155,0.01385,3e-04,6e-04,2e-07,0.008,2e-07,0.302,8e-04,0.0064,0.07005,0.0102,0.0062,2e-07,2e-07,0.0025,0.0078,2e-07,2e-07,0.01115
"22971",1357000,678000,0.01555,2e-07,0.02085,0.5647,0.01175,3e-04,4e-04,2e-07,0.01075,2e-07,0.1895,5e-04,0.0028,0.08685,0.00195,7e-04,2e-07,2e-07,0.001,0.0035,2e-07,2e-07,0.00455
"22972",1365000,678000,0.01335,2e-07,0.01975,0.6082,0.0127,5e-04,2e-04,2e-07,0.02125,2e-07,0.11515,4e-04,0.0016,0.15565,5e-04,2e-04,2e-07,2e-07,5e-04,0.0022,2e-07,2e-07,0.002
"22973",1373000,678000,0.01425,2e-07,0.02835,0.45175,0.0157,0.0012,1e-04,2e-07,0.05865,2e-07,0.1228,3e-04,0.002,0.2464,2e-04,2e-04,2e-07,2e-07,8e-04,0.0018,2e-07,2e-07,0.0012
"22974",1381000,678000,0.01365,2e-07,0.0578,0.292,0.02,0.0027,1e-04,2e-07,0.08555,2e-07,0.12065,5e-04,0.002,0.3213,1e-04,2e-04,2e-07,2e-07,0.0011,0.0015,2e-07,2e-07,5e-04
"22975",1389000,678000,0.0159,2e-07,0.06895,0.27545,0.01985,0.0035,1e-04,2e-07,0.0924,2e-07,0.0609,4e-04,0.00265,0.398,1e-04,2e-04,2e-07,2e-07,0.00145,0.00145,2e-07,2e-07,4e-04
"22976",1397000,678000,0.0156,2e-07,0.0352,0.3738,0.0166,0.0017,2e-07,2e-07,0.06035,2e-07,0.01615,5e-04,0.0024,0.41195,1e-04,2e-04,2e-07,2e-07,9e-04,0.0014,2e-07,2e-07,2e-04
"22977",1405000,678000,0.019,2e-07,0.0298,0.40295,0.0136,0.0013,1e-04,2e-07,0.04435,2e-07,0.0072,8e-04,0.00355,0.42795,2e-04,2e-04,2e-07,2e-07,6e-04,0.00135,2e-07,2e-07,3e-04
"22978",1413000,678000,0.0229,2e-07,0.0534,0.23845,0.0297,0.0019,4e-04,2e-07,0.0477,2e-07,0.0175,0.0016,0.00595,0.4883,0.0015,0.0015,2e-07,2e-07,9e-04,0.0017,2e-07,2e-07,0.0011
"22979",1421000,678000,0.0315,2e-07,0.0675,0.2881,0.03025,0.0023,0.00255,2e-07,0.03575,2e-07,0.02255,0.0023,0.00785,0.4052,0.0079,0.0074,2e-07,2e-07,0.0013,0.00355,2e-07,2e-07,0.00255
"22980",1429000,678000,0.0436,2e-07,0.0499,0.36765,0.0119,0.0015,0.01815,2e-07,0.0154,2e-07,0.0246,0.0034,0.01325,0.20285,0.04545,0.00865,2e-07,2e-07,0.0015,0.0063,2e-07,2e-07,0.004
"22981",1437000,678000,0.04615,2e-07,0.04375,0.32015,0.00975,0.00165,0.0409,2e-07,0.01425,2e-07,0.02385,0.00415,0.0228,0.157,0.1077,0.0128,2e-07,2e-07,0.0016,0.0084,2e-07,2e-07,0.00305
"22982",1445000,678000,0.04805,2e-07,0.03375,0.18365,0.0137,0.0029,0.04765,2e-07,0.02335,1e-04,0.05185,0.0028,0.03525,0.1348,0.1342,0.02675,2e-07,2e-07,0.0014,0.0072,2e-07,2e-07,0.0039
"22983",1453000,678000,0.03795,2e-07,0.0195,0.1522,0.01385,0.00245,0.02125,2e-07,0.0263,4e-04,0.15395,0.00265,0.02265,0.0892,0.18945,0.05005,2e-07,2e-07,0.0012,0.0043,2e-07,1e-04,0.00175
"22984",1461000,678000,0.04905,2e-07,0.0093,0.17565,0.0113,0.0012,0.0143,2e-07,0.0247,0.0015,0.3044,0.0018,0.01315,0.06165,0.1157,0.05215,2e-07,2e-07,0.00085,0.0039,2e-07,3e-04,0.00185
"22985",1469000,678000,0.0729,2e-07,0.0057,0.44665,0.01125,0.001,0.00555,2e-07,0.01675,0.001,0.27815,0.002,0.0096,0.0508,0.04365,0.01595,2e-07,2e-07,9e-04,0.00475,2e-07,0.0019,0.00235
"22986",1477000,678000,0.04035,2e-07,0.0095,0.2035,0.01065,9e-04,0.02455,2e-07,0.02195,2e-04,0.0892,0.00585,0.0177,0.0718,0.1732,0.06045,2e-07,2e-07,0.0015,0.00455,2e-07,1e-04,0.0031
"22987",1485000,678000,0.0265,2e-07,0.01025,0.1128,0.00535,7e-04,0.0294,2e-07,0.01825,2e-04,0.03755,0.0109,0.0169,0.06895,0.2878,0.0662,2e-07,2e-07,0.0016,0.0047,2e-07,2e-07,0.003
"22988",1493000,678000,0.0339,2e-07,0.0107,0.1831,0.0024,0.0012,0.03565,2e-07,0.0206,3e-04,0.015,0.0262,0.01775,0.0691,0.274,0.0645,2e-07,2e-07,0.0015,0.00795,2e-07,2e-07,0.00225
"22989",1501000,678000,0.0419,2e-07,0.01475,0.2366,0.00245,0.00235,0.0263,2e-07,0.0147,0.00075,0.0083,0.034,0.0157,0.0803,0.2701,0.0801,2e-07,2e-07,0.0012,0.0132,2e-07,2e-07,0.0026
"22990",1509000,678000,0.03025,2e-07,0.0165,0.1736,0.0024,0.00125,0.02045,2e-07,0.01465,1e-04,0.0091,0.037,0.0165,0.06905,0.29645,0.08685,2e-07,2e-07,0.0013,0.01975,2e-07,2e-07,0.003
"22991",1517000,678000,0.01875,2e-07,0.0163,0.04685,0.002,5e-04,0.01615,2e-07,0.0124,2e-07,0.00925,0.0285,0.0194,0.04705,0.44515,0.1356,2e-07,2e-07,0.00095,0.00905,2e-07,2e-07,0.00365
"22992",1525000,678000,0.0136,2e-07,0.01345,0.0784,0.0023,3e-04,0.0654,2e-07,0.0106,2e-07,0.0291,0.0104,0.02285,0.055,0.381,0.2255,2e-07,2e-07,0.0018,0.0088,2e-07,2e-07,0.005
"22993",1533000,678000,0.0166,2e-07,0.0168,0.0892,0.0037,3e-04,0.0962,2e-07,0.01155,2e-07,0.03055,0.013,0.0242,0.0741,0.31305,0.18465,2e-07,2e-07,0.00245,0.0109,2e-07,2e-07,0.006
"22994",1541000,678000,0.0369,2e-07,0.04595,0.1362,0.0085,0.001,0.03505,2e-07,0.02465,2e-07,0.0155,0.0384,0.02215,0.14115,0.1706,0.1009,2e-07,2e-07,0.0055,0.02315,2e-04,2e-07,0.01195
"22995",1549000,678000,0.049,2e-07,0.05875,0.1975,0.0175,0.0015,0.022,2e-07,0.0345,2e-07,0.0109,0.05195,0.01875,0.15445,0.10125,0.08135,2e-07,2e-07,0.00505,0.01625,4e-04,2e-07,0.01465
"22996",1557000,678000,0.03955,2e-07,0.0374,0.20955,0.0361,0.0021,0.01845,2e-07,0.03695,2e-07,0.01305,0.03525,0.01705,0.14115,0.1075,0.0828,2e-07,2e-07,0.00335,0.0064,2e-04,2e-07,0.01055
"22997",1565000,678000,0.0327,2e-07,0.02145,0.2582,0.15285,0.00235,0.0324,2e-07,0.0308,2e-07,0.05135,0.01325,0.0145,0.13075,0.06255,0.01745,2e-07,2e-07,0.00335,0.00415,1e-04,2e-07,0.0064
"22998",1573000,678000,0.0185,2e-07,0.01855,0.4115,0.0902,0.001,0.0051,2e-07,0.02265,2e-07,0.14265,0.00405,0.01405,0.14235,0.00765,0.00195,2e-07,2e-07,0.0015,0.00305,2e-07,2e-07,0.0024
"22999",1581000,678000,0.01035,2e-07,0.01385,0.50405,0.0342,0.00045,0.0013,2e-07,0.0161,2e-07,0.16565,0.0018,0.0113,0.14995,0.0018,0.00055,2e-07,2e-07,0.0012,0.00265,2e-07,2e-07,0.001
"23000",1589000,678000,0.0091,2e-07,0.0128,0.5622,0.02225,3e-04,0.00115,2e-07,0.01445,2e-07,0.1555,0.001,0.0121,0.13135,0.00085,5e-04,2e-07,2e-07,9e-04,0.00265,2e-07,2e-07,8e-04
"23001",1597000,678000,0.01235,2e-07,0.0102,0.64935,0.0232,2e-04,0.00175,2e-07,0.01305,2e-07,0.07525,9e-04,0.0086,0.1056,0.001,5e-04,2e-07,2e-07,0.0013,0.0034,2e-07,2e-07,7e-04
"23002",1605000,678000,0.0114,2e-07,0.0064,0.65365,0.0285,3e-04,0.00145,2e-07,0.00895,2e-07,0.12915,5e-04,0.0066,0.08415,0.00135,7e-04,2e-07,2e-07,0.0011,0.0028,2e-07,2e-07,4e-04
"23003",1613000,678000,0.00845,2e-07,0.00415,0.4434,0.0417,2e-04,0.0012,2e-07,0.00415,2e-07,0.34745,4e-04,0.00635,0.08805,0.00255,6e-04,2e-07,2e-07,6e-04,0.00175,2e-07,2e-07,4e-04
"23004",1621000,678000,0.01355,2e-07,0.00595,0.4649,0.0435,4e-04,0.00895,2e-07,0.0043,2e-07,0.0801,6e-04,0.03,0.11515,0.15415,7e-04,2e-07,2e-07,9e-04,0.0057,2e-07,2e-07,7e-04
