"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"238";2,183;22,081;7,784;1,339;4,35;18,186;17,124;0;25,178;1,775;0
"239";1,924;5,912;2,956;0,992;1,996;76,303;2,736;0;6,86;0,32;0
"240";4,062;3,625;3,763;3,339;23,155;8,303;4,478;0;44,205;5,07;0
"241";20,542;1,901;6,448;19,578;5,927;3,834;5,014;0;34,293;2,461;0
"242";6,486;3,712;18,668;2,981;7,073;12,043;9,581;0;35,381;4,076;0
"243";0;9,133;9,15;6,402;13,51;8,457;16,925;0;32,704;3,718;0
"244";7,38;3,756;12,243;26,637;5,977;9,804;8,986;0;23,597;1,618;0
"245";1,681;9,481;4,348;56,243;4,543;5,011;10,43;0;7,517;0,746;0
"246";5,028;6,083;45,778;1,958;4,536;4,91;3,255;0;27,237;1,215;0
"247";4,267;40,159;5,052;1,499;9,155;6,109;12,671;0;19,757;1,331;0
"248";7,597;4,811;9,846;4,334;8,055;2,575;7,007;0;53,952;1,824;0
"249";18,996;11,423;5,557;1,269;9,479;9,529;10,732;0;29,823;3,191;0
"250";5,292;4,451;2,802;4,939;4,55;10,855;9,996;0;42,001;15,115;0
"251";2,078;37,881;7,894;15,718;5,331;3,022;5,286;0;16,618;6,171;0
"252";13,865;7,291;7,452;1,76;8,556;14,252;9,071;0;33,179;4,574;0
"253";4,196;8,642;17,653;3,932;17,791;6,689;18,932;0;19,581;2,584;0
"254";2,114;13,321;12,381;26,277;6,22;7,645;6,394;0;22,585;3,063;0
"255";3,054;16,337;7,073;1,921;13,674;5,678;9,905;0;40,593;1,765;0
"256";8,334;37,26;6,51;6,856;10,113;5,725;7,034;0;14,738;3,43;0
"257";0,646;1,694;39,91;4,847;4,523;2,897;18,193;0;26,32;0,97;0
"258";3,814;4,307;16,038;21,158;8,488;15,288;10,341;0;18,858;1,706;0
"259";10,226;5,006;36,916;3,788;9,424;2,548;7,009;0;22,77;2,312;0
"260";3,157;30,737;6,636;1,982;6,005;2,262;11,147;0;35,382;2,694;0
"261";11,082;42,049;7,785;2,458;10,65;0;9,171;0;16,131;0,673;0
"262";3,804;13,001;14,042;4,695;8,305;4,765;12,823;0;36,139;2,425;0
"263";2,148;16,064;8,07;2,057;39,809;4,758;9,036;0;16,577;1,481;0
"264";0,843;5,516;7,818;1,345;62,28;1,717;4,213;0;14,46;1,808;0
"265";2,269;8,08;9,352;2,435;8,264;9,558;6,863;0;50,235;2,945;0
"266";1,261;4,13;34,399;16,832;5,095;3,98;12,573;0;19,728;2;0
"267";3,375;2,823;4,159;1,424;4,062;66,411;8,59;0;7,067;2,088;0
"268";5,428;36,283;17,597;3,319;3,71;5,491;12,458;0;14,013;1,701;0
"269";1,941;3,138;5,342;70,339;4,124;2,505;3,338;0;8,046;1,227;0
"270";0;32,726;12,93;2,823;6,966;8,944;9,463;0;24,339;1,81;0
"271";2,097;29,015;8,228;9,327;2,527;1,421;25,123;0;21,602;0,661;0
"272";1,6;8,152;6,641;41,347;5,63;1,758;11,537;0;20,937;2,398;0
"273";3,312;4,124;9,991;1,291;2,861;3,671;44,127;0;24,94;5,682;0
"274";2,088;4,529;7,015;1,628;4,673;20,289;22,73;0;32,427;4,621;0
"275";0,822;2,315;55,356;9,56;14,161;5,994;4,096;0;6,571;1,124;0
"276";1,816;10,403;11,508;14,234;7,809;5,348;5,708;0;37,402;5,773;0
"277";6,589;15,394;27,854;1,482;6,781;2,929;7,137;0;30,764;1,07;0
"278";0,851;7,388;13,933;1,149;3,207;3,299;3,383;0;66,088;0,701;0
"279";30,051;9,239;7,317;1,247;4,558;6,133;9,677;0;29,625;2,154;0
"280";3,265;3,239;41,683;1,436;3,536;8,152;17,708;0;20,247;0,735;0
"281";5,294;6,415;5,47;2,288;22,872;12,045;11,939;0;32,075;1,604;0
"282";4,244;4,596;18,03;3,849;14,763;14,107;12,976;0;25,189;2,246;0
"283";5,307;6,016;31,153;1,281;29,484;6,645;12,994;0;6,42;0,701;0
"284";2,601;17,632;7,866;1,179;10,533;7,115;23,778;0;26,318;2,978;0
"285";0;9,142;14,95;2,243;14,758;15,103;14,481;0;27,998;1,325;0
"286";0,669;7,718;7,319;7,396;20,812;16,655;11,414;0;27,28;0,737;0
"287";3,786;6,974;16,552;4,108;12,916;4,196;24,678;0;25,227;1,563;0
"288";0;2,14;48,976;1,111;4,347;4,559;6,412;0;30,801;1,654;0
"289";0,693;4,951;5,946;66,092;2,904;1,599;8,324;0;8,475;1,017;0
"290";9,57;6,47;14,412;5,629;10,492;13,358;12,44;0;25,219;2,411;0
"291";4,365;5,306;6,91;10,047;5,791;27,65;8,132;0;27,418;4,382;0
"292";0;7,617;4,586;9,424;6,368;0;5,577;0;61,597;4,83;0
"293";0,722;6,443;71,25;2,809;2,741;3,485;3,967;0;7,523;1,06;0
"294";0,459;71,21;5,475;0,634;4,58;2,578;5,444;0;9,078;0,541;0
"295";0,798;6,334;15,141;1,505;16,302;4,171;14,742;0;38,921;2,087;0
"296";1,909;21,676;17,077;2;15,332;2,856;17,773;0;16;5,377;0
"297";5,28;6,416;11,033;3,369;12,486;10,305;6,854;0;43,378;0,88;0
"298";1,112;3,366;6,366;1,748;6,517;2,939;3,72;0;71,88;2,353;0
"299";0;11,394;27,072;1,835;9,589;21,533;10,358;0;15,252;2,966;0
"300";4,756;5,447;21,602;4,772;24,25;4,826;10,919;0;19,529;3,899;0
"301";20,035;10,001;18,124;1,393;4,91;2,795;8,942;0;32,246;1,554;0
"302";1,047;2,521;3,3;2,055;1,607;4,123;3,636;0;80,963;0,747;0
"303";4,791;16,223;4,608;21,581;5,143;7,138;15,326;0;21,971;3,218;0
"304";4,183;3,934;7,087;2,058;15,72;7,547;10,223;0;37,646;11,601;0
"305";7,746;8,689;25,51;3,139;10,017;5,545;15,528;0;21,288;2,537;0
"306";1,402;4,469;2,638;8,942;16,708;37,124;13,738;0;13,271;1,709;0
"307";2,664;4,561;4,229;9,723;4,41;0;21,813;0;48,356;4,244;0
"308";4,044;20,234;13,767;2,307;5,515;11,418;12,831;0;25,07;4,813;0
"309";10,44;6,328;21,812;2,427;18,901;4,771;7,674;0;26,287;1,359;0
"310";4,995;13,23;18,922;8,573;7,638;5,968;17,326;0;20,708;2,64;0
"311";0,894;2,713;8,167;61,999;2,611;2,049;5,786;0;14,165;1,617;0
"312";0;17,1;13,87;2,5;8,749;14,067;6,992;0;34,671;2,05;0
"313";2,912;15,368;6,582;1,894;3,52;8,917;5,124;0;55,053;0,63;0
"314";2,232;24,255;9,647;8,628;6,542;8,4;12,266;0;26,452;1,578;0
"315";0,449;75,756;1,211;0,336;11,568;2,766;2,606;0;4,041;1,266;0
"316";0;13,638;6,156;1,996;38,985;3,053;8,564;0;24,504;3,105;0
"317";0;17,403;6,053;5,475;11,982;3,076;12,208;0;40,856;2,947;0
"318";2,134;11,707;4,402;10,383;4,308;8,676;19,471;0;34,647;4,272;0
"319";0,784;1,721;4,738;3,41;1,445;6,542;2,891;0;36,817;41,651;0
"320";1,085;3,76;5,652;0,844;1,057;0,484;3,975;0;82,209;0,935;0
"321";7,749;18,671;7,11;3,894;5,7;18,894;10,961;0;26,352;0,669;0
"322";2,839;6,817;5,067;4,824;4,856;12,912;11,976;0;39,405;11,306;0
